repeat,cpuset,mode,cores,block_bytes,input,wall_seconds,input_bytes,output_bytes,calls,mbps,thread_cpu_seconds,process_cpu_seconds,cpu_cores_used,output_ratio,depth,validation,fallback,phase,dataset,compression_factor,space_saved_pct,payload_output_ratio,cpu_seconds_per_gb
3,"0,2,4,6",async,4,65536,/root/hch/silesia/dickens,2.000968,4145011160,2424631286,63440,2071.503,7.993631,7.993719,3.994927,0.5849516906970161,8,PASS,0,scaling,dickens,1.7095428834617454,41.50483093029839,0.5847680289478401,1.9285156761797475
3,"0,2,4,6",sync,4,65536,/root/hch/silesia/dickens,2.000090,3422889188,2002244678,52388,1711.367,7.994368,7.994459,3.997049,0.584957492933014,8,PASS,0,scaling,dickens,1.7095259263813112,41.5042507066986,0.5847738305456355,2.3355880254689683
3,"0,2,4,6,8,10,12,14",sw,8,65536,/root/hch/silesia/dickens,2.000124,4584859202,2900264942,70172,2292.287,15.98671,15.986864,7.992935,0.6325744835817098,8,PASS,0,scaling,dickens,1.5808415071342816,36.742551641829024,0.6325744835817098,3.4868822128771666
3,"0,2,4,6,8,10,12,14",sync,8,65536,/root/hch/silesia/dickens,2.000149,6803008146,3979403422,104121,3401.251,15.989745,15.989899,7.994355,0.5849476197290445,8,PASS,0,scaling,dickens,1.7095547810985423,41.50523802709555,0.5847639580351018,2.3504159714113624
3,"0,2,4,6,8,10,12,14",async,8,65536,/root/hch/silesia/dickens,2.000910,8254370736,4828504927,126336,4125.309,15.988515,15.988686,7.990708,0.5849634189486204,8,PASS,0,scaling,dickens,1.70950860790123,41.503658105137966,0.5847797547968047,1.9369963515532602
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/root/hch/silesia/dickens,2.000181,9173915904,5803179826,140409,4586.543,31.979478,31.979823,15.988465,0.6325739070127844,8,PASS,0,scaling,dickens,1.580842948015859,36.74260929872156,0.6325739070127844,3.4859511831862546
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/root/hch/silesia/dickens,2.001900,8496368000,4969861774,130040,4244.152,31.990959,31.991242,15.980439,0.5849395617044836,8,PASS,0,scaling,dickens,1.7095783316246413,41.50604382955164,0.5847558973434296,3.7652844132928327
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/root/hch/silesia/dickens,2.000218,8510851456,4978430747,130261,4254.962,31.981066,31.981386,15.98895,0.5849509620439086,8,PASS,0,scaling,dickens,1.7095450129799707,41.50490379560914,0.584767298633957,3.7577187388758486
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sw,32,65536,/root/hch/silesia/dickens,2.000227,18350125568,11607835003,280853,9174.022,63.952537,63.95332,31.973034,0.632575235520045,8,PASS,0,scaling,dickens,1.5808396279975965,36.7424764479955,0.632575235520045,3.4851707015850324
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",async,32,65536,/root/hch/silesia/dickens,2.003146,8472718302,4956183692,129672,4229.707,63.999134,63.999853,31.949675,0.5849579220437535,8,PASS,0,scaling,dickens,1.709524672315152,41.50420779562465,0.5847742662269855,7.55363871650173
