phase,dataset,block_bytes,cores,mode,samples,mbps,mbps_min,mbps_max,output_ratio,output_ratio_min,output_ratio_max,compression_factor,compression_factor_min,compression_factor_max,space_saved_pct,space_saved_pct_min,space_saved_pct_max,payload_output_ratio,payload_output_ratio_min,payload_output_ratio_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max,cpu_cores_used,cpu_cores_used_min,cpu_cores_used_max
scaling,text,65536,2,async,3,4262.224,4260.901,4263.805,0.019950936959462956,0.019921743137685348,0.01997490884281519,50.1229592390491,50.06280668758555,50.196410679963584,98.0049063040537,98.00250911571848,98.00782568623147,0.019767831490712956,0.019738637668935348,0.01979180337406519,0.4685333122458451,0.4683604961228061,0.4686689752293384,1.996994,1.996952,1.996998
scaling,text,65536,4,sw,3,40628.558,40497.977,40980.279,0.0049285888671875,0.0049285888671875,0.0049285888671875,202.89783281733747,202.89783281733747,202.89783281733747,99.50714111328125,99.50714111328125,99.50714111328125,0.0049285888671875,0.0049285888671875,0.0049285888671875,0.09836528053742419,0.09751855029516492,0.09869506983499732,3.996439,3.996337,3.996951
scaling,text,65536,4,sync,3,4050.069,4045.976,4052.321,0.019897162964882885,0.01988758798828046,0.01990262035749035,50.25842135207571,50.244640255304375,50.28261851509038,98.01028370351172,98.00973796425096,98.01124120117196,0.019714057496132885,0.01970448251953046,0.01971951488874035,0.9869369111913031,0.9864277996165672,0.9879140642953116,3.997163,3.997076,3.997322
scaling,text,65536,4,async,3,4261.624,4260.339,4262.245,0.01985511099217819,0.019789398999367235,0.019857580694032036,50.364865771535825,50.35860185629452,50.53210560017386,98.01448890078218,98.0142419305968,98.02106010006327,0.01967200552342819,0.019606293530617235,0.019674475225282036,0.9373004439425497,0.9372527272978944,0.937585939227233,3.994434,3.994422,3.994801
scaling,text,65536,8,async,3,4255.958,4252.862,4256.381,0.019625552348420713,0.019592076464758065,0.01968094011111119,50.95397990571567,50.81058091505669,51.04104211714287,98.03744476515793,98.03190598888888,98.0407923535242,0.019442446879670713,0.019408970996008065,0.01949783464236119,1.8780301206034544,1.877589085436472,1.8791818060554697,7.9919,7.991735,7.992817
scaling,text,65536,8,sw,3,80983.611,80938.235,81016.602,0.0049285888671875,0.0049285888671875,0.0049285888671875,202.89783281733747,202.89783281733747,202.89783281733747,99.50714111328125,99.50714111328125,99.50714111328125,0.0049285888671875,0.0049285888671875,0.0049285888671875,0.09870391358087785,0.09865910274204928,0.0987656370925296,7.9934,7.993025,7.993917
scaling,text,65536,8,sync,3,4261.281,4259.045,4261.628,0.02011933206724573,0.02011798110165542,0.020119395003307897,49.70343929200313,49.703283813235274,49.70677698458094,97.98806679327544,97.9880604996692,97.98820188983446,0.01993622659849573,0.01993487563290542,0.019936289534557897,1.876166619024099,1.8760417240440903,1.8771386158284384,7.994872,7.994818,7.994991
scaling,text,65536,16,sync,3,4257.343,4257.168,4258.857,0.020120797859348727,0.02011930466373493,0.02012121221501081,49.69981841626474,49.69879494904293,49.70350699060197,97.98792021406513,97.98787877849891,97.98806953362651,0.019937692390598727,0.01993619919498493,0.01993810674626081,3.7558234491988784,3.754597125914723,3.756425587942725,15.990291,15.98983,15.991736
scaling,text,65536,16,sw,3,158557.315,152751.483,158948.728,0.0049285888671875,0.0049285888671875,0.0049285888671875,202.89783281733747,202.89783281733747,202.89783281733747,99.50714111328125,99.50714111328125,99.50714111328125,0.0049285888671875,0.0049285888671875,0.0049285888671875,0.10083428024762182,0.10059080382926448,0.10467328193638768,15.98878,15.988013,15.988999
scaling,text,65536,16,async,3,4244.62,4242.967,4249.819,0.0195969729953342,0.01959538530315873,0.019633655539855598,51.028288921870114,50.932950207363916,51.032423426693335,98.04030270046657,98.03663444601443,98.04046146968413,0.0194138675265842,0.01941227983440873,0.019450550071105598,3.7655130268754484,3.7611624192909376,3.7670488710756653,15.983464,15.983172,15.98426
scaling,text,65536,32,sync,3,4261.362,4258.336,4263.524,0.02012095184957719,0.020120589671062148,0.020121305715171036,49.69943805223178,49.69856400750481,49.70033266163272,97.98790481504228,97.9878694284829,97.98794103289379,0.01993784638082719,0.019937484202312148,0.019938200246421036,7.503942904502191,7.500360202251435,7.509285771265151,31.977061,31.977016,31.977967
scaling,text,65536,32,sw,3,312587.3,312500.19,315499.606,0.0049285888671875,0.0049285888671875,0.0049285888671875,202.89783281733747,202.89783281733747,202.89783281733747,99.50714111328125,99.50714111328125,99.50714111328125,0.0049285888671875,0.0049285888671875,0.0049285888671875,0.10230201930907662,0.10135927707051867,0.10232940878959874,31.978312,31.97796,31.978812
